시간,장소,인물,대사,화면 연출,배경음악,표정,비고
3/2 엔딩,기차역,루나,하필 솔이었던 이유는…,,,,
3/2 엔딩,기차역,루나,…,,,,
3/2 엔딩,기차역,루나,글쎄요?,,,웃음,
3/2 엔딩,기차역,루나,고양이의 직감?,,,웃음,
3/2 엔딩,기차역,솔,…,,,당황,
3/2 엔딩,기차역,루나,하핫.,,,웃음,
3/2 엔딩,기차역,루나,"아무튼 솔, 다시 한 번 기차의 주인으로서 말씀드릴게요.",,,,
3/2 엔딩,기차역,루나,우리 기차를 위해 그동안 노력해줘서 고마워요.,,,,
3/2 엔딩,기차역,루나,기차에서 보낸 모든 시간이 당신의 앞날에 빛을 밝히길.,,,,
3/2 엔딩,기차역,루나,진심으로 빌어요.,,,,
3/2 엔딩,기차역,루나,"고마워요, 솔.",,,웃음,
3/2 엔딩,기차역,나레이션,감사를 전한 루나는 손을 휘저어 차원 문을 연다.,,차원 문 열리는 소리,,
3/2 엔딩,기차역,루나,"그럼, 안녕히.",,,,
3/2 엔딩,기차역,나레이션,비밀스러운 흰 고양이는 달콤한 향을 풍기는 차원 문 너머로 사라진다. ,,,,
3/2 엔딩,기차역,솔,…사라졌어.,,,놀람,
3/2 엔딩,기차역,나레이션,솔은 차원 문이 있던 자리를 뚫어져라 쳐다보다 기차 안 카페로 다시 걸음을 옮긴다.,,,,
3/2 엔딩,2엔딩,,(일러스트),3/2 엔딩 일러스트,,,3/2 엔딩 일러스트
3/2 엔딩,2엔딩,솔,…,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,여기에 있는 동안 참 많은 일이 있었다. ,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,많은 사람들이 여기를 거쳐 갔다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,모든 나날이 행복하지만은 않았다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,분명 힘에 겨운 날도 많았다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,"그러나,",3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,솔,하하…,3/2 엔딩 일러스트,,웃음,
3/2 엔딩,2엔딩,나레이션,훗날 이곳을 떠올리면 웃음만 짓게 되리라.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,솔은 그렇게 믿었다.,3/2 엔딩 일러스트,,,
3/2 엔딩,검은화면,,3/2엔딩 끝,,,,
"3/1,0 엔딩",기차역,루나,그래서 알아요.,,배드엔딩 bgm,,
"3/1,0 엔딩",기차역,루나,솔이 얼마나 노력했는지.,,,,
"3/1,0 엔딩",기차역,루나,기차에 타는 모든 승객들을 즐겁게 해주기 위해 노력했잖아요.,,,,
"3/1,0 엔딩",기차역,루나,맞죠?,,,,
"3/1,0 엔딩",기차역,솔,…네.,,,슬픔,
"3/1,0 엔딩",기차역,루나,…,,,,
"3/1,0 엔딩",기차역,루나,그렇지만 쉽지만은 않았을 거예요.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,루나,원래 사람의 마음이라는 건…,,,,
"3/1,0 엔딩",기차역,루나,연약하고 위태롭죠.,,,,
"3/1,0 엔딩",기차역,루나,아주 작은 행동 하나가 파문처럼 일파만파 퍼져나가,,,,
"3/1,0 엔딩",기차역,루나,한 사람의 앞날을 바꾸는 쓰나미가 되기도 해요.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,루나,아쉬운가요?,,,,
"3/1,0 엔딩",기차역,나레이션,솔은 쉬이 대답하지 못한다.,,,,
"3/1,0 엔딩",기차역,나레이션,아쉽다.,,,,
"3/1,0 엔딩",기차역,나레이션,과거의 선택이 후회스럽게 남기도 한다.,,,,
"3/1,0 엔딩",기차역,루나,…그래도 수고 많았어요.,,,웃음,
"3/1,0 엔딩",기차역,루나,우리 기차를 위해 그동안 노력해줘서 고마워요.,,,웃음,
"3/1,0 엔딩",기차역,루나,…,,,,
"3/1,0 엔딩",기차역,루나,"자,",,,,
"3/1,0 엔딩",기차역,루나,이제 저도 가봐야 할 시간이네요.,,,,
"3/1,0 엔딩",기차역,루나,우리는 다음에,,,,
"3/1,0 엔딩",기차역,루나,"또 연이 닿는다면 다시 만나요, 솔.",,,웃음,
"3/1,0 엔딩",기차역,나레이션,루나는 손을 휘저어 작은 차원 문을 연다.,,차원 문 열리는 소리,,
"3/1,0 엔딩",기차역,나레이션,"정중히 인사를 남긴 루나가 차원 문 너머로 사라지고,",,,,
"3/1,0 엔딩",기차역,나레이션,문이 닫히자 그와 동시에,,,,
"3/1,0 엔딩",기차역,나레이션,솔이 지내온 기차와 아름다운 역사가 ,,,,
"3/1,0 엔딩",기차역,솔,…,,,놀람,
"3/1,0 엔딩",기차역,나레이션,흔적도 없이 사라진다.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,솔,이건…,,,슬픔,
"3/1,0 엔딩",기차역,나레이션,솔은 멍하니 허공을 응시한다.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,나레이션,해가 지자 솔은 걸음을 옮겨 자신이 원래 있던 작은 카페로 향한다.,,,,
"3/1,0 엔딩",암전,,암전,,,,
"3/1,0 엔딩",기차역,나레이션,달칵,,,,
"3/1,0 엔딩",1엔딩,,(일러스트),"3/1,0 엔딩 일러스트",,,"3/1,0 엔딩 일러스트"
"3/1,0 엔딩",1엔딩,솔,…,"3/1,0 엔딩 일러스트",,슬픔,
"3/1,0 엔딩",1엔딩,나레이션,돌아왔다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,결국,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,여기로.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,…,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,모든 게…,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,꿈이었을까.,"3/1,0 엔딩 일러스트",,슬픔,
"3/1,0 엔딩",1엔딩,나레이션,"솔에게 들려오는 건 싱그러운 음악 소리와 사람들의 웃음 소리가 아닌,","3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,고요한 적막.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,그뿐이었다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,그것 외에 솔에게 남은 건 ,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,아무것도 없었다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",,,"3/1,0 엔딩 끝",,,,
