일자,장소,인물,대사,화면 연출,배경음악,표정,비고,퀘스트,퀘스트 내용
0일차 밤,집,나레이션,어째서 나에게 이런 초대장이 도착한 것인지는 전혀 알 수가 없었다.,비밀 초대장,,,,,
0일차 밤,집,솔,잠깐… ,비밀 초대장,,,,,
0일차 밤,집,솔,탑승 날짜가...,비밀 초대장,,,,,
0일차 밤,집,나레이션,Tomorrow 15:00,비밀 초대장,,,,,
0일차 밤,집,솔,당장 내일이잖아?,비밀 초대장,놀라는 느낌,놀람,,,
0일차 밤,집,나레이션,"당황도 잠시, 속절없이 흘러가는 시간에 선택을 재촉할 수밖에 없었다. ",비밀 초대장,,,,,
0일차 밤,집,솔,"...그렇지만, 나는 내일도 카페를...",암전,,,,,
0일차 밤,집,나레이션,나에게는 운영해야 하는 카페가 있었다.,암전,,,,,
0일차 밤,집,나레이션,희망에 부풀어 올라 시작했던 나의 작은 카페가 떠올랐다.,암전,,,,,
0일차 밤,집,솔,...,암전,,슬픔,,,
0일차 밤,집,나레이션,특별한 일 없이 무미건조하게 흘러가는 회색빛 카페.,암전,,,,,
0일차 밤,집,나레이션,이곳 카페에서는 더이상...,암전,,,,,
0일차 밤,집,나레이션,희망이 느껴지지 않았다.,암전,bgm off,,,,
0일차 밤,집,나레이션,"그 생각을 끝으로, 나는 짐을 싸기 시작했다.",암전,짐을 부스럭대는 소리,,,,
0일차 밤,집,나레이션,"인생을 바꿀 기회가,",암전,,,,,
0일차 밤,집,나레이션,"그것도 아주 특별한 기회가, 내게 주어졌다고 생각했다.",암전,,,,,
1일차 아침,숲,나레이션,녹음으로 가득 둘러싸인 오지를 헤맨다.,숲 화면,저벅저벅 걸어가는 소리,,,,
1일차 아침,숲,솔,나...잘못된 길로 가고 있나?,,,당황,,,
1일차 아침,숲,솔,"의심과 걱정을 뒤로하고,",,,,,,
1일차 아침,숲,나레이션,풀숲을 헤치며  20분 정도 걸어 들어가자,,,,,,
1일차 아침,숲,나레이션,눈앞에 믿을 수 없는 광경이 나타난다.,,,,,,
1일차 아침,기차역,나레이션,"마치 보석을 칠해놓은 것처럼 반짝이는 기차역,",기차역 화면,,,,,
1일차 아침,기차역,나레이션,역의 간판을 지탱하고 있는 나무는 장인의 손길로 정교하게 깎여 시선을 빼앗는다. ,,,,,,
1일차 아침,기차역,솔,이렇게 아름다운 역이 어째서...이런 숲 속에 있는 거지?,,,놀람,,,
1일차 아침,기차역,나레이션,"부드러운 손길로 다듬어진 인위적인 깎임, 동시에 오랜 세월 비어 있어 건물을 타고 자라난 수풀의 형상.",,,,,,
1일차 아침,기차역,나레이션,이것들이 함께 어우러져 있는 모습은 설명할 수 없는 아름다움을 뿜어낸다.,,,,,,
1일차 아침,기차역,솔,...!,,,놀람,,,
1일차 아침,기차역,나레이션,"오후 3시 정각, 호루라기 소리와 함께 열차가 태양 아래로 모습을 드러낸다. ",기차 들어오는 애니메이션,기차 경적 소리,,,,
1일차 아침,기차역,나레이션,그늘에서 벗어난 열차의 금빛 창틀과 문손잡이가 햇살을 받아 빛을 낸다.,기차 선로 위 기차 있는 화면, ,,,,
1일차 아침,기차역,나레이션,짙은 푸른색 몸체에 흰 지붕을 이고 있는 열차는 마치 페도라를 쓴 신사처럼 보인다.,,,,,,
1일차 아침,기차역,솔,음...여기서는 나밖에 안 타는 건가.,,,일반,,,
1일차 아침,기차역,솔,"열차가 곧 출발할 것 같은데, ",, ,일반,,,
1일차 아침,기차역,나레이션,다른 승객들은 보이지 않는다.,,,,,,
1일차 아침,기차역,나레이션,"이윽고, 기차가 천천히 내 앞에 멈춘다.",,끼익 멈추는 소리,,,,
1일차 아침,기차역,나레이션,"눈 앞의 문이 열리고, 바텐더 복장을 한 사람이 내린다. ",,,,,,
1일차 아침,기차역,나레이션,나와 눈이 마주치자 그녀는 반갑다는 듯 웃는다.,,,,,,
1일차 아침,기차역,???,아 마침 잘 왔네!,,,웃음,,,
1일차 아침,기차역,???,당신이 오늘부터 이 카페를 담당할 바리스타 맞지?,,,웃음,,,
1일차 아침,기차역,???,이름이...뭐였더라~?,,,일반,,,
1일차 아침,기차역,???,"아! 그래, 솔! 맞아. 솔이라는 예쁜 이름이었어~",,,웃음,,,
1일차 아침,기차역,바이올렛,나는 바이올렛! 반가워~,,,웃음,,,
1일차 아침,기차역,솔,네? 그게 무슨 말씀이세요? ,,,당황,,,
1일차 아침,기차역,솔,저는 여기 탑승객으로 온 건데요?,,,당황,,,
1일차 아침,기차역,바이올렛,무슨 소리야 달링!,,,웃음,,,
1일차 아침,기차역,바이올렛,여기 버젓이 당신 이름으로 명찰도 만들어져 있는걸?,,,윙크,,,
1일차 아침,기차역,나레이션,골드에 음각으로 새겨진 나의 이름이 햇빛에 반사되어 반짝인다.,명찰(반짝이는 gif),반짝임,,,,
1일차 아침,기차역,나레이션,이름 위에는 LUNAR EXPRESS BARISTA라는 직책이 달려 있다.,명찰,,,,,
1일차 아침,기차역,솔,이걸 언제..???,,,당황,,,
1일차 아침,기차역,바이올렛,"달링, 우리 이럴 시간이 없어!",,,일반,,,
1일차 아침,기차역,바이올렛,오픈 준비를 해야 한다구~,,,웃음,,,
1일차 아침,기차역,바이올렛,우리만 타면 열차가 출발할 거야. ,,,일반,,,
1일차 아침,기차역,바이올렛,간단한 건 내가 알려줄 테니 어서 따라와!,,,웃음,,,
1일차 낮,,,,잠시 암전,,,,,
1일차 낮,카페,바이올렛,수고했어 달링!,카페 화면(3인칭),,윙크,,,
1일차 낮,카페,바이올렛,저쪽에 카페 카운터 보이지?,카페 카운터 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,저 카운터로 들어가면 카페 오픈! 아까랑 같은 화면으로 넘어갈 수 있어.,,,,,,
1일차 낮,카페,바이올렛,내일부터는 혼자 오픈해야 하니까 잘 기억해 둬~,,,윙크,,,
1일차 낮,카페,바이올렛,이제부터는 열차에 대해 소개해 줄게.,,,일반,,,
1일차 낮,카페,바이올렛,여기는 루나 익스프레스.,,,일반,,,
1일차 낮,카페,바이올렛,"솔루티에서 가장 유명한, 세계를 여행하는 열차야!",,,,,,
1일차 낮,카페,바이올렛,달링도 들어봤지?,,,,,,
1일차 낮,카페,나레이션,솔은 고개를 끄덕인다.,,,,,,
1일차 낮,카페,바이올렛,"후후, 대륙 간 이동이 얼마나 힘든지는 자기도 알 거야.",,,일반,,,
1일차 낮,카페,바이올렛,루나 익스프레스는 신비한 힘을 이용해 차원을 넘어서 이동하고 있어.,,차원문이 열리듯 웅- 하는 소리,일반,,,
1일차 낮,카페,바이올렛,정말 신기하고 대단하지 않아?,,,웃음,,,
1일차 낮,카페,솔,"음…신기하긴 한데요… 사실 아직까지 제가 왜 여기서 바리스타로 일하게 되었는지 잘,",,,당황,,,
1일차 낮,카페,솔,저는 분명히 승객으로 알고 왔는데 말이죠.,,,일반,,,
1일차 낮,카페,바이올렛,"에이 달링, 이런 게 인생 아니겠어?",,,웃음,,,
1일차 낮,카페,바이올렛,인생이란 무릇 예상할 수가 없는 법이지! ,,,,,,
1일차 낮,카페,바이올렛,"우린 자기가 필요했고, 자기도 특별한 무언가를 원했잖아?",,,웃음,,,
1일차 낮,카페,솔,!,,,놀람,,,
1일차 낮,카페,솔,그걸 어떻게...,,,놀람,,,
1일차 낮,카페,바이올렛,"후후, 그리고 바리스타로 일하면 열차 생활을 더 재밌게 누릴 수 있을 거야. 내가 장담해!",,,웃음,,,
1일차 낮,카페,솔,...,,,일반,,,
1일차 낮,카페,바이올렛,"아차, 객실을 안 알려줬네. 자기 객실은 302호야!",,,웃음,,,
1일차 낮,카페,바이올렛,"오늘은 가볍게 열차 직원들이랑 인사 나누고, 내일의 오픈을 위한 휴식을 취하길 바랄게.",,,일반,,M01,처음 열차에 오르게 된 당신. 열차 직원들을 만나 간단한 인사를 합시다. 
1일차 낮,카페,바이올렛,"수고 많았어! 솔, 내일 보자.",,,웃음,,,
1일차 낮,,,,,,,,,
1일차 낮,엔진룸,나레이션,관계자만 들어갈 수 있는 듯하다.,객실 복도 화면,철컥철컥하는 소리,,,,
1일차 낮,엔진룸,,,,,,,,
1일차 낮,다른 방 1,나레이션,고요한 정적이 흐른다. 아직 아무도 없나 보다.,객실 복도 화면,,,,,
1일차 낮,다른 방 1,,,,,,,,
1일차 낮,다른 방 2,나레이션,고요한 정적이 흐른다.,객실 복도 화면,,,,,
1일차 낮,다른 방 2,,,,,,,,
1일차 낮,정원,나레이션,"넓은 통창으로 뚫려 있는 칸에 들어오자, 식물이 한가득 솔을 반긴다.",정원 화면,정원 bgm,,,,
1일차 낮,정원,솔,...안녕하세요~,,,일반,,,
1일차 낮,정원,???,안녕하세요. 만나서 반갑습니다.,,,일반,,,
1일차 낮,정원,???,저희 열차의 새로운 바리스타시군요.,,,웃음,,,
1일차 낮,정원,???,여기는 루나 익스프레스의 정원이에요.,,,웃음,,,
1일차 낮,정원,솔,와아...,,,일반,,,
1일차 낮,정원,나레이션,내리쬐는 따스한 햇살에 몸과 마음이 편안해진다.,,,,,,
1일차 낮,정원,나레이션,정원의 관리자는 솔이 정원을 천천히 구경할 수 있도록 다음 말을 기다린다.,,,,,,
1일차 낮,정원,레이비야크,...저는 레이비야크라고 합니다.,,,웃음,,,
1일차 낮,정원,레이비야크,세계를 여행하면서 흔히 볼 수 없는 식물들을 모으고 관리하는 게 제 일이죠.,,,일반,,,
1일차 낮,정원,솔,"앗, 소개가 늦었네요. 제 이름은 솔입니다. ",,,놀람,,,
1일차 낮,정원,솔,여긴 참... 따뜻한 공간이네요.,,,웃음,,,
1일차 낮,정원,레이비야크,감사합니다. 언제든 이곳에 와서 편안하게 쉬다 가도 좋아요.,,,웃음,,,
1일차 낮,정원,솔,감사합니다. 말씀만으로도 벌써 휴식을 취한 기분이 드네요.,,,일반,,,
1일차 낮,정원,솔,앞으로 자주 와야겠어요. ,,,웃음,,,
1일차 낮,정원,레이비야크,"네, 기다리고 있겠습니다. ",,,웃음,,,
1일차 낮,빵집,나레이션,"화덕에서는 증기가 뿜어져 나오고 있고, 반죽 기계는 요란한 소리를 내며 돌아가고 있다.",빵집 화면,빵집 bgm / 쿠당탕탕,,,,
1일차 낮,빵집,솔,"그...저기, 안녕하세요?",,,일반,,,
1일차 낮,빵집,???,...,,,일반,,,
1일차 낮,빵집,나레이션,주방의 요란한 소리 때문에 인사가 잘 전달되지 않은 듯하다...,,,,,,
1일차 낮,빵집,솔,저기!!!! 안녕하세요!!!!!!!,,,일반,,,
1일차 낮,빵집,나레이션,펑!!!!,,펑!!!!,,,,
1일차 낮,빵집,???,찍!,,찍(쥐소리...),일반,,,
1일차 낮,빵집,???,뭐야 깜짝 놀랐잖아!,,,화냄,,,
1일차 낮,빵집,솔,앗 죄송해요… 주방이 너무 시끄러워서...,,,놀람,,,
1일차 낮,빵집,???,앗? 뭐야?? 손님인가?? 어서 옵쇼~,,,웃음,,,
1일차 낮,빵집,???,여기는 없는 빵이 없는 빵집 러스티 입니다~,,,웃음,,,
1일차 낮,빵집,솔,"네 안녕하, 헉… 저기!",,,놀람,,,
1일차 낮,빵집,솔,지금 사장님 꼬리에서 연기가 나는데요…!,,활활 불이 피어오르는 소리,놀람,,,
1일차 낮,빵집,???,"뭐??? 안 돼, 내 탐스러운 꼬리!!!!!",,찍(쥐소리...),놀람,,,
1일차 낮,빵집,나레이션,한바탕 소동이 지나가고...,,,,,,
1일차 낮,빵집,???,"그래서, 손님이 아니라는 말이지?",,,일반,,,
1일차 낮,빵집,나레이션,"친절한 모습을 하던 아까와는 다르게, 우락부락한 몸과 험악한 표정으로 솔을 바라본다.",,,,,,
1일차 낮,빵집,솔,"네, 어쩌다보니...오늘 바리스타로 취직하게 된 솔이라고 해요.",,,일반,어쩌다보니... 만 연한 글씨로,,
1일차 낮,빵집,솔,앞으로 잘 부탁드린다고 인사하러 찾아왔어요.,,,웃음,,,
1일차 낮,빵집,러스크,"음, 그렇구만. 내 이름은 러스크다.",,,일반,,,
1일차 낮,빵집,러스크,앞으로 맛있는 빵이 먹고 싶다면 여기로 찾아오라고~,,,일반,,,
1일차 낮,빵집,러스크,이 세계 어디에도 없는 빵을 선사해 줄 테니까. 캬하핫,,,웃음,,,
1일차 낮,빵집,솔,조금 강렬하시지만 그래도 착한...분인 것 같아.,,,일반,혼잣말(글씨색연하게),,
1일차 낮,빵집,러스크,뭐라고?!,,찍(쥐소리...),일반,,,
1일차 낮,빵집,솔,앗! 아무 말도 안 했어요~,,,놀람,,,
1일차 낮,빵집,솔,그럼 이만 가볼게요~ 꼬리 조심하세요!!,,,웃음,,,
1일차 낮,의무실,솔,어라? 여긴 아무도 안 계시나…,의무실 화면,의무실 bgm,일반,,,
1일차 낮,의무실,솔,저어- 아무도 안 계신가요?,,,일반,,,
1일차 낮,의무실,나레이션,(따끔),,따끔,,,,
1일차 낮,의무실,솔,아얏!!,,,놀람,,,
1일차 낮,의무실,???,이보게 여길세 여기~,,,일반,,,
1일차 낮,의무실,나레이션,아래를 바라보니 갈색빛의 털 뭉치가 보인다.,,,,,,
1일차 낮,의무실,나레이션,갈색 털 뭉치는 사다리 쪽으로 굴러가더니 자기보다 훨씬 더 큰 사다리를 뚜벅뚜벅 옮긴다.,,,,,,
1일차 낮,의무실,나레이션,"사다리에 한 계단 한 계단을 올라 정상에 다다른 털뭉치는 다름아닌 햄스터, ",,,,,,
1일차 낮,의무실,나레이션,...나이가 꽤 있어 보인다. ,,,,,,
1일차 낮,의무실,???,허허허. 반갑구먼,,,웃음,,,
1일차 낮,의무실,???,오랜만에 찾아오신 새로운 환자로구만~,,,웃음,,,
1일차 낮,의무실,솔,네? 저는 아픈 데가 없는데요...? 저는 그저 인사를 드리려ㄱ...,,,놀람,,,
1일차 낮,의무실,???,무슨 소리!!!,,,화남,,,
1일차 낮,의무실,???,지금 자네 얼굴만 해도 눈 밑에 거-멓고!!,,,화남,,,
1일차 낮,의무실,???,허리가 똑-바르질 않고!!,,,화남,,,
1일차 낮,의무실,???,목도 거북처럼 아-래로 굽어 있지 않은가!!,,,화남,,,
1일차 낮,의무실,솔,...,,,당황,,,
1일차 낮,의무실,???,이 침 하나만 맞으면 만-사형통일 텐데~ 어때?,,,웃음,,,
1일차 낮,의무실,???,하나 맞아볼텨??,,,웃음,,,
1일차 낮,의무실,솔,아니요 아니요 아니요!!!!!,,,놀람,,,
1일차 낮,의무실,솔,"저,저는 환자도 아니고! 물론 좀, 좋은 상태는 아니지만 요즘 이정도는 다 갖고 있어요!",,,놀람,,,
1일차 낮,의무실,솔,저는 그냥 새로 온 바리스타로서 인사를 드리려고 온 것 뿐이에요...,,,일반,,,
1일차 낮,의무실,???,바리스타??,,,일반,,,
1일차 낮,의무실,???,아 그렇지 참.,,,,,,
1일차 낮,의무실,???,그런 얘기를 들은 것도 같구먼.,,,일반,,,
1일차 낮,의무실,Mr. Ham,나는 이 열차의 명의 Mr. Ham 화타일세~,,,일반,,,
1일차 낮,의무실,Mr. Ham,언-제든지 몸을 뜯어 고치고 싶으면 찾아오게나! 홀홀홀...,,,웃음,,,
1일차 낮,객실,솔,열차를 조금 더 돌아봐야 할 것 같아.,,,일반,모든 장소를 돌아보지 않은 경우,,
1일차 낮,객실,솔,하… 오늘은 정말...길고 긴 하루였어.,,,일반,모든 장소를 돌아본 경우,,
1일차 낮,객실,솔,"탈 거라고 생각지도 못했던 기차에 타고,",,,일반,,,
1일차 낮,객실,솔,다시 하지는 않을 거라 생각했던 카페 일도... 하게 되고.,,,일반,,,
1일차 낮,객실,솔,...,,,일반,,,
1일차 낮,객실,솔,앞으로 난 어떤 생활을 하게 될까...,,잠에 빠지는 쿨...,일반,,,
